Día,Mes,Año,Departamento,Municipio,Lugar de Ocurrencia,Tipo de Implicado (1),Tipo de Implicado (2),Nº Víctimas,Fuente,,,,,,
22,2,1986,Cundinamarca,Paime,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 18",,,,,,
26,2,1986,Tolima ,Cunday,Vereda San Luis de Vichía,Fuerza Pública,Ejército Nacional,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 19",,,,,,
26,2,1986,Quindío,Armenia,Vía a Pereira,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 19",,,,,,
1,3,1986,Valle del Cauca,Cali,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 20",,,,,,
4,3,1986,Quindío,Armenia,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 21",,,,,,
10,3,1986,Quindío,Armenia,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 22",,,,,,
13,3,1986,Distrito Capital,Bogotá D.C.,Cabecera Municipal - Barrio Quinta Paredes,Fuerza Pública,Policía Nacional,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 23",,,,,,
19,3,1986,Santander,Matanza,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 24",,,,,,
19,3,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 24",,,,,,
21,3,1986,Santander,Bucaramanga,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 24",,,,,,
24,3,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 25",,,,,,
27,3,1986, Antioquia,Caucasia,Vereda Puerto Gloria,Fuerza Pública,Ejército Nacional,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 26",,,,,,
30,3,1986,Santander,Sabana de Torres,Zona Rural Boca de Tigra,Grupos Paramilitares,Grupos Paramilitares,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 26",,,,,,
31,3,1986,Santander,San Benito  ,Vereda San Lorenzo,Desconocidos,Desconocidos,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 27",,,,,,
1,4,1986, Antioquia,Turbo,Corregimiento Currulao,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 27",,,,,,
7,4,1986,Santander,San Vicente de Chucuri,Vereda El Tapón,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 28",,,,,,
7,4,1986,Cauca,Argelia,Sitio Los Mangos,Fuerza Pública,Policía Nacional,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 28",,,,,,
8,4,1986,Distrito Capital,Bogotá D.C.,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 29",,,,,,
8,4,1986,Santander,Bucaramanga,Vía a Minas de Cemento,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 28",,,,,,
10,4,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 29",,,,,,
13,4,1986, Antioquia,Turbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 31",,,,,,
14,4,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 31",,,,,,
17,4,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 32",,,,,,
18,4,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 32",,,,,,
19,4,1986,Santander,Bucaramanga,Vía a Minas de Cemento,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 33",,,,,,
20,4,1986, Antioquia,Apartadó,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 34",,,,,,
20,4,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 33",,,,,,
21,4,1986,Santander,Bucaramanga,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 34",,,,,,
21,4,1986,Risaralda,Pueblo Rico,Sitio Oducabu,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 34",,,,,,
22,4,1986,Cauca,Patia (El Bordo),Vía a Bolívar,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 35",,,,,,
23,4,1986,Santander,Cimitarra,Sitio La Cristalina,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 36",,,,,,
25,4,1986,Santander,San Vicente de Chucuri,Corregimiento Yarima,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 36",,,,,,
30,4,1986, Antioquia,Murindó,Corregimiento Pavarandó,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 37",,,,,,
30,4,1986,Santander,Bucaramanga,Corregimiento La Vega,Fuerza Pública,Policía Nacional,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 37",,,,,,
1,5,1986, Antioquia,Medellín,Cabecera Municipal,Fuerza Pública,Ejército Nacional-Policía Nacional,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 38",,,,,,
1,5,1986, Antioquia,Apartadó,Vereda El Gas,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 38",,,,,,
2,5,1986,Risaralda,Pereira,Cabecera Municipal,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 38",,,,,,
3,5,1986,Santander,Bucaramanga,Sitio Café Madrid,Grupos Paramilitares,Grupos Paramilitares,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 39",,,,,,
3,5,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 39",,,,,,
7,5,1986,Valle del Cauca,Cali,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 40",,,,,,
7,5,1986,Arauca,Saravena,Cabecera Municipal,Fuerza Pública,Policía Nacional,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 40 y 41",,,,,,
9,5,1986,Valle del Cauca,Cali,Cabecera Municipal - Barrio Los Alamos,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 41",,,,,,
10,5,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 41",,,,,,
13,5,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 42",,,,,,
15,5,1986,Tolima ,Planadas,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 43",,,,,,
15,5,1986,Huila ,Tello,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 43",,,,,,
16,5,1986,Quindío,Montenegro,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 43",,,,,,
18,5,1986,Cauca,Patia (El Bordo),,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 43",,,,,,
19,5,1986,Cauca,Almaguer,Río San Jorge,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 43",,,,,,
20,5,1986,Santander,Bucaramanga,Vía al Mar,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 43",,,,,,
21,5,1986,Cauca,Sotará,Corregimiento El Carmelo,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 44",,,,,,
21,5,1986,Valle del Cauca,Yumbo,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 44",,,,,,
23,5,1986,Caldas,Samaná,Vereda La Culata,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 44",,,,,,
25,5,1986,Tolima ,Ibague,Vereda Cocora,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 45",,,,,,
30,5,1986,Valle del Cauca,Riofrío,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 45",,,,,,
30,5,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 45",,,,,,
31,5,1986,Tolima ,Mariquita,Vía a Ibagué,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 46",,,,,,
2,6,1986,Quindío,La Tebaída,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 46",,,,,,
2,6,1986,Valle del Cauca,Florida,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 46",,,,,,
2,6,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 46",,,,,,
2,6,1986,Valle del Cauca,Yumbo,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 46",,,,,,
5,6,1986,Santander,San Vicente de Chucuri,Vereda Llana Caliente - Sitio Veremos,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 48",,,,,,
5,6,1986,Valle del Cauca,Cartago,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 48",,,,,,
6,6,1986,Arauca,Arauquita,Cabecera Municipal,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 49",,,,,,
7,6,1986,Distrito Capital,Bogotá D.C.,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 49",,,,,,
8,6,1986,Chocó,Riosucio,Corregimiento Domingo,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 49",,,,,,
8,6,1986,Santander,Barrancabermeja,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 52",,,,,,
8,6,1986,Santander,La Paz,Cabecera Municipal  ,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 52",,,,,,
11,6,1986, Antioquia,Amagá,Zona Rural,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 53",,,,,,
11,6,1986, Antioquia,Necoclí,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 53",,,,,,
13,6,1986, Antioquia,Apartadó,Corregimiento San José,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 53",,,,,,
14,6,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 54",,,,,,
16,6,1986,Cauca,Bolívar,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 54",,,,,,
16,6,1986,Santander,San Vicente de Chucuri,Vereda Pamplonita,Guerrilla  ,Guerrilla-ELN,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 54",,,,,,
18,6,1986,Santander,Rionegro,Vereda Planadas,Desconocidos,Desconocidos,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 56",,,,,,
18,6,1986,Valle del Cauca,Cali,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 56",,,,,,
20,6,1986,Distrito Capital,Bogotá D.C.,,Fuerza Pública,Policía Nacional,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 57",,,,,,
21,6,1986,Cundinamarca,Yacopí,Vereda El Canelo,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 57",,,,,,
21,6,1986,Santander,Bucaramanga,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 57",,,,,,
23,6,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 58",,,,,,
23,6,1986,Meta,Granada,IP Canaguaro,Fuerza Pública,Policía Nacional,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 58",,,,,,
25,6,1986,Santander,Bucaramanga,Vía a Minas de Cemento,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 58",,,,,,
26,6,1986,Santander,Rionegro,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 59",,,,,,
28,6,1986,Cauca,Miranda,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 59",,,,,,
29,6,1986,Cundinamarca,Yacopí,,Fuerza Pública,Ejército Nacional,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 59",,,,,,
29,6,1986,Boyacá,Puerto Boyacá,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 59",,,,,,
29,6,1986,Cauca,Corinto,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 60",,,,,,
29,6,1986,Sucre,Corozal,,Fuerza Pública,Policía Nacional,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 59",,,,,,
3,7,1986,Santander,Betulia,Sitio La Puntana,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 62",,,,,,
5,7,1986,Santander,San Vicente de Chucuri,Vereda La Arruga,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 62",,,,,,
6,7,1986,Cauca,Bolívar,IP Sucre,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 63",,,,,,
8,7,1986,Chocó,Riosucio,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 63",,,,,,
13,7,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 64",,,,,,
14,7,1986, Antioquia,Turbo,Corregimiento Currulao,Grupos Paramilitares,Grupos Paramilitares,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 64",,,,,,
14,7,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 64",,,,,,
15,7,1986,Cauca,Miranda,Vereda Monterredondo,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 64",,,,,,
15,7,1986,Chocó,Riosucio,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 65",,,,,,
15,7,1986,Meta,Puerto Gaitán,,Fuerza Pública,Policía Nacional,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 64",,,,,,
16,7,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 65",,,,,,
17,7,1986,Cauca,Corinto,Vereda Quebradas,Desconocidos,Desconocidos,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 65",,,,,,
20,7,1986,Cauca,Balboa,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 66",,,,,,
21,7,1986,Caldas,Manizales,Cabecera Municipal,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 67",,,,,,
21,7,1986,Valle del Cauca,Guacarí,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 67",,,,,,
22,7,1986,Quindío,Armenia,,Desconocidos,Desconocidos,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 67",,,,,,
22,7,1986,Valle del Cauca,Bugalagrande,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 67",,,,,,
23,7,1986,Quindío,Armenia,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 67",,,,,,
24,7,1986, Antioquia,Caldas,Vía a Medellín,Fuerza Pública,Policía Nacional,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 67",,,,,,
26,7,1986,Huila ,Gigante,Vereda El Vergel ,Fuerza Pública,Ejército Nacional,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 68",,,,,,
28,7,1986, Antioquia,Cocorná,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 68",,,,,,
28,7,1986,Meta,Acacías,,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 68",,,,,,
29,7,1986,Meta,Granada,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 69",,,,,,
30,7,1986,Meta,Granada,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 69",,,,,,
5,8,1986,Santander,El Carmen de Chucurí,,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 71",,,,,,
7,8,1986,Distrito Capital,Bogotá D.C.,Cabecera Municipal,Fuerza Pública,Ejército Nacional,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 71",,,,,,
9,8,1986,Valle del Cauca,Yumbo,Vía a Cali,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 72",,,,,,
10,8,1986,Huila ,Campoalegre,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 72",,,,,,
11,8,1986,Santander,El Carmen de Chucurí,Vereda Barro Amarillo y Vereda San Carlos,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 72",,,,,,
11,8,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,3,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 72",,,,,,
14,8,1986,Santander,Sabana de Torres,Zona Rural,Desconocidos,Desconocidos,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 73",,,,,,
16,8,1986,Caquetá,La Montañita,IP Maracaibo,Fuerza Pública,Ejército Nacional,1,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 73",,,,,,
16,8,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,2,"Comité Permanente Por la Defensa de los Derechos Humanos, Itinerario de la Represión y la Violencia Institucionalizadas 1986, Pp. 74",,,,,,
